User,,,,,,,,,,,,,,,
Name,Top 3 Champion,Games Played With Champion,Rank,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jacob,Amumu,678,Bronze,,,,,,,,,,,,
,Fiddlesticks,154,,,,,,,,,,,,,
,Varus,585,,,,,,,,,,,,,
Michael,Maokai,717,Bronze,,,,,,,,,,,,
,Renekton,193,,,,,,,,,,,,,
,Malzahar,465,,,,,,,,,,,,,
Joshua,Cho'Gath,774,Bronze,,,,,,,,,,,,
,Graves,682,,,,,,,,,,,,,
,Katarina,354,,,,,,,,,,,,,
Matthew,Thresh,251,Bronze,,,,,,,,,,,,
,Rumble,68,,,,,,,,,,,,,
,Fizz,718,,,,,,,,,,,,,
Andrew,Tryndamere,420,Bronze,,,,,,,,,,,,
,Shen,352,,,,,,,,,,,,,
,Galio,781,,,,,,,,,,,,,
Christopher,Leona,150,Bronze,,,,,,,,,,,,
,Nocturne,586,,,,,,,,,,,,,
,Thresh,691,,,,,,,,,,,,,
Joseph,Zilean,70,Bronze,,,,,,,,,,,,
,Ryze,637,,,,,,,,,,,,,
,Twisted Fate,479,,,,,,,,,,,,,
Nicholas,Kindred,103,Bronze,,,,,,,,,,,,
,Renekton,603,,,,,,,,,,,,,
,Blitzcrank,44,,,,,,,,,,,,,
Daniel,Kha'Zix,96,Bronze,,,,,,,,,,,,
,Karma,378,,,,,,,,,,,,,
,Vi,198,,,,,,,,,,,,,
William,Lissandra,314,Bronze,,,,,,,,,,,,
,Shyvana,43,,,,,,,,,,,,,
,Kennen,743,,,,,,,,,,,,,
Ethan,Maokai,735,Bronze,,,,,,,,,,,,
,Kindred,390,,,,,,,,,,,,,
,Pantheon,279,,,,,,,,,,,,,
Anthony,Bard,392,Bronze,,,,,,,,,,,,
,Bard,60,,,,,,,,,,,,,
,Janna,456,,,,,,,,,,,,,
Ryan,Yorick,369,Bronze,,,,,,,,,,,,
,Vel'Koz,542,,,,,,,,,,,,,
,Volibear,741,,,,,,,,,,,,,
Tyler,Talon,177,Bronze,,,,,,,,,,,,
,Hecarim,392,,,,,,,,,,,,,
,Rengar,95,,,,,,,,,,,,,
David,Malzahar,464,Bronze,,,,,,,,,,,,
,Fiora,707,,,,,,,,,,,,,
,Anivia,199,,,,,,,,,,,,,
John,Annie,366,Bronze,,,,,,,,,,,,
,Yorick,747,,,,,,,,,,,,,
,Miss Fortune,160,,,,,,,,,,,,,
Alexander,Volibear,745,Bronze,,,,,,,,,,,,
,Bard,159,,,,,,,,,,,,,
